60.000,3.000
1.127,47983.323,51491.786,31941.291,15068.369,5043.854,1771.786,0.000
1.133,48275.890,51531.575,32137.896,15056.666,5191.308,1797.531,0.000
1.139,47906.085,51096.235,32154.280,15204.120,5249.822,1797.531,0.000
1.145,48376.533,51679.029,32208.112,15115.180,5128.114,1834.980,0.000
1.150,48233.760,51159.430,32252.582,14953.683,5226.416,1790.510,0.000
1.156,47807.783,51660.304,32346.204,15213.482,5261.524,1909.877,0.000
1.162,48238.441,51407.526,32404.717,15213.482,5203.011,1863.066,0.000
1.167,48067.582,51461.359,32004.485,15349.233,5128.114,1863.066,0.000
1.174,48027.793,51585.407,32140.236,15232.206,5256.843,1788.169,0.000
1.189,47807.783,51206.240,32264.285,15173.693,5195.989,1795.191,0.000
1.195,47875.658,51271.775,31597.232,15122.201,5093.006,1778.807,0.000
1.201,48032.474,51627.537,32215.134,15201.779,5132.795,1757.742,0.000
1.207,48002.047,51370.078,31899.161,15063.688,5191.308,1846.683,0.000
1.214,48198.652,51400.505,32201.090,15040.282,5224.076,1827.958,0.000
1.220,48327.381,51295.181,32280.669,14771.121,5109.389,1809.234,0.000
1.226,47709.480,51709.456,31864.053,15030.920,5198.330,1715.613,0.000
1.232,47861.615,51302.202,31866.394,15332.849,5055.557,1891.153,0.000
1.237,48149.501,51159.430,32112.150,15066.028,5130.454,1811.575,0.000
1.243,48002.047,51283.478,31835.967,15297.741,5200.670,1771.786,0.000
1.249,48280.571,51407.526,32044.274,15014.537,5224.076,1795.191,0.000
1.255,47704.799,51344.332,32229.177,15180.715,5074.281,1851.364,0.000
1.260,47903.744,51185.176,32187.047,15190.077,5170.243,1816.256,0.000
1.266,48165.884,51239.008,31978.739,15171.353,5097.687,1741.359,0.000
1.272,47784.377,51562.002,31835.967,15220.504,5235.778,1820.937,0.000
1.278,47454.362,51192.197,32229.177,15016.877,5193.649,1820.937,0.000
1.283,47873.317,51559.661,32329.820,15014.537,5076.622,1860.726,0.000
1.289,48044.177,51309.224,32079.382,15211.142,5142.157,1795.191,0.000
1.295,48367.171,51693.072,31950.653,15026.239,4964.276,1823.277,0.000
1.300,48048.858,51377.099,32292.371,15192.417,5083.644,1769.445,0.000
1.306,48310.998,51262.413,31866.394,15176.034,5088.325,1839.661,0.000
1.314,48320.360,51405.186,32257.263,15187.736,5188.968,1823.277,0.000
1.320,47716.502,51210.921,31971.718,15075.391,5226.416,1731.996,0.000
1.326,47789.058,51906.061,32149.599,15138.585,5097.687,1802.213,0.000
1.331,47643.945,51957.552,32084.064,15115.180,5167.903,1830.299,0.000
1.337,47997.366,51501.148,32074.701,15066.028,5172.584,1870.088,0.000
1.343,47941.193,51594.769,32315.777,14963.045,5214.714,1813.915,0.000
1.349,47826.507,51444.975,31487.227,15342.212,5195.989,1788.169,0.000
1.354,48332.062,51154.749,32301.733,15026.239,5160.881,1715.613,0.000
1.360,47578.410,51033.041,32081.723,15138.585,5139.816,1818.596,0.000
1.366,48133.117,51782.012,31920.226,15255.612,5172.584,1774.126,0.000
1.372,48193.971,51007.295,32037.253,15288.379,5167.903,1879.450,0.000
1.377,47744.588,51660.304,32217.474,15204.120,5249.822,1771.786,0.000
